Valeur;Occurrences;Pourcentage
a_simple_4k_whit_619a026f-fc52-4b98-b680-33fc37a23a75;1;0
wood_5ba8bf6d-65da-41bb-80bb-5563983fb727;1;0
net_curtain_f00f4c8e-3751-476a-89d3-3323919ba9ee;1;0
FREELANCE;1;0
plant_pot_big_b6a53708-55d4-4a1c-961e-deedec48715a;1;0
leather_9b0c7213-ec6d-4543-b138-263a90056afb;1;0
pine_wood_ba3a205a-6e76-46a9-96b0-ee3a93ee0699;1;0
wet_poured_concr_3486cddc-1546-4721-be9a-bc4e4a167584;1;0
tree_trunk_bark__e71e2c3e-d261-435c-a635-dd3b575c4132;1;0
asphalt_damaged_673996cd-eef9-4ef7-8b3d-76ad982ef1c3;1;0
wet_asphalt_b48c1f7d-99c2-4707-b26b-ed086d695f6d;1;0
fabric_02_166e2f35-73be-43cd-a66a-d9672caee91e;1;0
procedural_stree_abcc402c-0d91-46f0-b787-e0884e81a312;1;0
untreated_pine_p_8b0db1f1-dda7-4205-b408-30584a9a2493;1;0
grass_02_0fdffbaa-8df8-4e33-ba80-cb9407e29b4d;1;0
metal_3a36da7a-c3cd-467e-8b99-756339c3abba;1;0
automotive_led_l_d655a57c-605c-49ed-83cb-543cd79f8190;1;0
lamp_screen_plas_adcfbc51-b2c9-412a-a702-ea711fddd0c8;1;0
wood_painted_whi_8bec1784-430a-4042-b7c5-a7d6b33dcf31;1;0
wet_mud_7c10f393-5f33-4413-9239-0a8d6e4a949f;1;0
pm-leaf_eb6eb4c8-3b4c-44c9-8cdc-68fded42c184;1;0
roten_wood_5e3deb31-c97f-4ac9-b936-f1f0a28b3c84;1;0
glass_7e0287d7-de7a-4465-8f46-544f1e8de05f;1;0
led_display_shad_a2c63c8b-e396-49aa-906d-21c546c0ad6f;1;0
metal_rust_rope_6ecf4571-74b8-4e97-b294-cd09db20700a;1;0
dark_wood_76653bdf-b84a-4f30-aa09-7444570abd41;1;0
wet_ground_a939778d-3c61-4cf9-8f58-65319109e6ec;1;0
wet_road-freepol_38c95d95-4591-4497-bc07-2dc4ab14beec;1;0
glass_-_optimize_bce507bd-6de0-4974-b50a-13521ae3aa26;1;0
wood_2fe5e131-98f0-42cf-aacf-1f9095b95a6c;1;0
TEXTURES ENCRE CHINE;1;0
straw_basket-02_1645a3c8-a189-44e3-8281-386097111053;1;0
armchair_barcelo_597adc48-bab0-4b0c-b50f-f63853f76830;1;0
plaster_-_brushe_a689b21f-ba21-43c4-9b03-d19ba46f0238;1;0
plaster_white_ir_7185de0c-6f64-4117-ba52-59b653065b00;1;0
beige_rug_cad81f6f-1180-409d-beae-c1192d9a6a3f;1;0
procedrual_cemen_1d713db8-7b46-4763-8585-863c8ea9a0ca;1;0
carpet_ab1d63da-84e6-49ca-aff7-e1afcc462b19;1;0
old_book__the_se_a5f43b54-7efa-467d-8a56-0f6993b38bba;1;0
asphalt_damaged_ac71b04c-8d79-4838-aaf9-2415a4a0c6cb;1;0
lamp_dd3b6fb3-f8fc-4d4c-a57b-f09bd3a42e0a;1;0
plant_a7714cfb-ff58-416b-835c-30744238215b;1;0
small_wooden_she_777647cf-ff40-4e5b-9ca9-3d6ff1e87010;1;0
pillow_5fcb649d-028f-404b-9636-df089db44496;1;0
glass_and_gold_p_2b6d71fa-6e5d-4704-856c-a5cc9846bf0e;1;0
arched_floor_lam_2548913d-d2b4-4339-a6b3-9ac2565e1c68;1;0
old_book__the_gr_0df7fa14-6b0a-40fc-92cb-eec9cc796e9f;1;0
oil_and_vinegar_83c700b7-001c-4655-849c-449e9736d849;1;0
black_vase_set_31f96b6c-3735-436c-bc15-7ab4b81b4813;1;0
censer_vase_651c4173-52a0-455d-a6f3-dd534222c9a1;1;0
AOUT 2021;1;0
modern_bed_a4b356c4-7e66-4a10-97fa-50a30a307240;1;0
kinfolk_magazine_95209e06-d890-439e-9c6a-e4897331591f;1;0
stacked_set_of_b_bee6328d-42d4-4f5a-8731-b8c47544be06;1;0
screen_fcbf77fe-39bc-4c47-9fe2-277df1aaded5;1;0
car_windshield_g_bae04421-b048-46d5-89f4-9dfbcf5d96e9;1;0
ADRESSE_PREMIUM;1;0
Album Hugo TSR;1;0
MEMOIRE 23;1;0
moon_75ecfdd6-395e-4d31-a173-8b9e0de1d1f4;1;0
procedural_plast_68856af8-d0a2-44f3-9edc-b013e83cece3;1;0
mdf_antiqua_-_gu_714f222d-af42-46fb-b505-779ef20e67cc;1;0
clay_gray_428a1e19-e25f-4d01-afec-7264dca6b9e8;1;0
Anouk Jourdan-Dorster;1;0
grouillots;1;0
PMOP;1;0
Movie Files;1;0
mdf_western_-_ar_e2f7f8fe-164c-419e-ba89-a5fedbdb52af;1;0
REF 4;1;0
diamond_glass_sh_875b0e4b-f083-468a-9ad4-6d3f57b0f453;1;0
Document 1;1;0
BOULLE 1.2;1;0
test24;1;0
wavy_abstract_wh_db78bf1b-83d0-4d4b-9873-2d5a67a0c0fd;1;0
1_SCANS CARNET_0124;1;0
metal_wire_mesh_9173bf39-1e7d-46a1-8d62-ed2349dcab29;1;0
4''33';1;0
plastic_glass_sh_3973c5be-a06a-4432-9c5e-d23cf79760b4;1;0
VERALIA;1;0
worn_metal_paint_4a0df47d-6e48-4888-82ba-7aa83aea8b05;1;0
stucco-wall_fe09e4aa-b8bb-4542-8ce0-57ec962afd9e;1;0
dirty_old_walls__12ca4c77-1a75-415a-ac18-30802892aee7;1;0
procedural_groun_02894609-1269-4a9a-bb38-f617df4ca312;1;0
frosty_glass_e7de9195-47f0-4413-86b9-9eeca34aaae7;1;0
old_white_metal_97da47e0-10b9-4b10-85fe-e2390a3e9e9d;1;0
white_painted_wo_17fabb69-f2d5-41e4-a10f-1654e1bed115;1;0
black_metal_pain_9c7bbe9e-6c64-4d8e-99b9-8384cdce1d33;1;0
black_nickel_f92190f5-b377-4a44-8dab-9ae14c5a132f;1;0
fine_leather_whi_14db89a8-bee8-4949-85eb-96ba266a1512;1;0
black_painted_wo_4ca84283-3aa7-4c66-9dfe-3c853e361453;1;0
concrete_floor_59f34fc1-fbb2-4895-a8f9-438750f7bd5b;1;0
plaster-wall_48c8f818-1ec7-4713-9e1e-503b69861010;1;0
wood_71d9b58f-e497-4f6f-8762-997bf2420439;1;0
semi-realistic_g_7ed0ce80-20cc-4953-ba93-0f58f8382dec;1;0
plywood_cob_pres_50450383-46fe-43d0-a5e6-419ef2af6021;1;0
painted_wood_7ce630e4-0022-433c-b945-8e50b85fa899;1;0
cracked_floor_wa_527eba5d-e9f9-41ea-ba8d-26af85c45a0f;1;0
stone_260c47c4-2151-4976-845a-71dc61b53615;1;0
net-5_cc1167b8-f956-4647-9c65-c35034b78e49;1;0
paving_with_gras_91a18bd4-6c7a-4ef6-ad0d-b771fcad0d56;1;0
mesh-drill_e339608a-540d-4f76-a68a-a07ecc044d6f;1;0
VUESCHAMBERY_2206;1;0
blister_plastic__1f094dbb-fbb0-4572-a36b-31037ff07c04;1;0
worn_concrete_1f117245-df21-4cdd-b0c9-a58f4bbde9f2;1;0
GEOPORTAIL DATA;1;0
paving_stones_9aaf29c7-1aba-43a3-9aad-df79a7488987;1;0
Dossier 240823_DIAGNOSTIC_PREZ;1;0
Dossier 240823_DIAGNOSTIC_LIVRET2;1;0
11_ZINE;1;0
230622_CHAMBERY_PROP2_CJ copie_fichiers_incrustés;1;0
Dossier 231209_EditoSept;1;0
concrate_ec0dddab-f6a9-4a2f-b8a7-36f08fa58098;1;0
08_VERSION_INTERMEDIAIRES;1;0
fabric_pattern_0_5fd111d4-6ed3-450e-bded-604dcbdffa34;1;0
street_pavement_9d9ef552-82a4-40c1-b56d-0a033c29c061;1;0
240417_Assemblage_Portfolio;1;0
cool_glass_b81c1d55-b5f6-4552-887d-99225c4c47c0;1;0
translucent_plas_52f30899-c0de-4cca-b76d-d351f3e8c1aa;1;0
03_PREZ_WIP;1;0
books_8f5cb1e6-9ccb-4797-902d-405f8b474b73;1;0
acrylic_glass_5ec5282a-4af3-4a7b-a72f-faec0e1fbe0c;1;0
00_MATERIALITÉ;1;0
4x;1;0
SIGNALETIQUE_IPNPanneaux_fichiers_incrustés;1;0
cracked_road_950c8692-2ff4-4426-a168-7bb2d1fc418e;1;0
acid-treated-met_c100d8f6-039a-4c35-867d-711f631d4abf;1;0
concrete_36c04697-aa80-4693-9076-6698b68f4008;1;0
metal-wire-mesh_9173bf39-1e7d-46a1-8d62-ed2349dcab29;1;0
square_paving_st_2c0a6bb9-180c-4e0d-9875-18fa2ffaaeab;1;0
metal-mesh_8c4fbf6c-9972-4028-9b05-6e6cc762264e;1;0
ground_7daec0c0-2191-4d3b-846c-2f79c73b64bb;1;0
fabric_mesh_19bf2419-46a1-4aae-be6a-e91d4c79af69;1;0
ground_4_4e37fdf8-0d95-4957-9d7e-7b0a33056686;1;0
road_crushed_sto_0b8a57ba-8224-4b81-a615-9bba5d6181f4;1;0
orange_plastic_9ce5fd8a-1480-4972-8d1d-703d50cf8736;1;0
cracked_concrete_abba7b18-63b3-4f5a-afd0-052429a48cf5;1;0
metal_wire_mesh_3b73c9ea-5167-4410-9252-712ce1cded0d;1;0
dark_street_or_r_1429ba48-6bb6-4413-9f18-9533a5df974f;1;0
concrete_wall_17698a14-ae19-4979-a402-7f12fcdc7f62;1;0
metal-mesh-grid_bf6ac4de-e309-41dc-99aa-1c6671ab34c7;1;0
procedural-metal_c8b1b619-bf8d-4127-a69b-0f2db1629f3a;1;0
stone_98ec092a-9c65-4e1d-85d3-06c72c382c56;1;0
car_leather_red_ac2982ea-2420-4f70-bcd7-0005aa32acc9;1;0
realistic_glass__f91af097-c906-4c43-b9ff-5305520b7d3d;1;0
concrete_dirt_79567f64-45f5-4afe-a1ee-df1748baa9dd;1;0
holo_grid_e595f4e5-4238-4024-9067-e08c167bb2b6;1;0
bricks_red_a6b52c4f-2dbc-4bb7-bf48-f140ba4714c4;1;0
metal_wire_6390391f-4aac-4205-a4ab-1ff1bfee3454;1;0
expe3DD;1;0
Dossier Diag_doc;1;0
grass_01_0aa2d510-f527-4d85-9bc4-42a512fcf37e;1;0
dark_iron_6ceeed72-0a91-4f3e-aed7-310232fdaa95;1;0
pebbles_v2_d402bb2f-1bbf-4b0c-9c06-7a3075f763cf;1;0
road_with_dashed_5d5391aa-29ec-4b01-9f18-4c6c79f0fcea;1;0
procedural_concr_8ee8127d-91d4-4573-9fd8-e9c3c970acf3;1;0
colorful_plants__89b977e7-7252-4aeb-a428-36a9c067f859;1;0
grass_material_cd6e69c6-12cf-4de5-b903-7ef438fad641;1;0
dirt_ground_mate_48ef0a06-897c-427c-b369-bc9b5d97018e;1;0
mossy_ground_b89d57dc-7a83-4891-9731-a1f0dc68af85;1;0
ground_7464756b-12a1-4790-b752-2c2b3dc5b375;1;0
procedurally_see_ef38a04e-42f8-45ae-942b-71b1d8b94f4d;1;0
asphalt_c59f6809-b9f4-4a19-92c3-c4cecbe7855b;1;0
ground_sidewalk__763f7ade-8fa3-42b7-8b2b-74305d30c58d;1;0
stylized_concret_3e5b6ed8-aece-46f7-96fe-6c27ce153091;1;0
bricks_e8f85678-e4e0-4aca-a177-b98ef181f0ba;1;0
walnut_wood_ba510509-b6aa-45b4-8d8d-7b3d1fdc220a;1;0
bricks_stylized__66a5e5a7-aeff-41bb-9001-5d4e19deb04f;1;0
chair_-_wood_a5bc5d38-629c-4733-9ed9-5db4d29da30d;1;0
aluminium_used_02b245b2-67fc-4808-90a3-b4caf64ed39e;1;0
old_wood_d3cd9922-7ff6-4083-bd37-bb270f32ec4e;1;0
wood_e88e8264-835e-422c-b1f1-c0f0ccf30bab;1;0
brushed_aluminiu_b921bb71-d529-48dd-8d7c-b846041fec1b;1;0
milk_white_glass_64cda8c5-ef28-42cc-8844-53334257c1db;1;0
rock_wall_7c4c06c9-1f0b-4b61-bc95-feff4844a545;1;0
brass_antique_d0f11899-f30c-48bf-8a9a-1e4b25323ea8;1;0
procedural_frost_c9083ee5-464f-42f5-9b57-15ff8b3ae393;1;0
brass_bdc02aea-2d20-4dfb-aa83-1fd62f1fefeb;1;0
scanned_old_ston_7a08bf29-bd9b-49fa-849e-1659a4aebfaf;1;0
brass__-_brushed_80fe5df8-dcee-4600-915c-f97208f1f002;1;0
woman_01_fe272f82-52c4-4192-aec4-e5143be15e68;1;0
man_01_b8e1a888-9b9b-44be-b2b5-91744e80bd64;1;0
walking_stick_1646b3a3-e1da-4e6a-8736-94f78bce125c;1;0
wood_parquet_c25c2e7e-739c-46a1-adf6-b05494b3d65c;1;0
york_stone_pavin_23744fe0-340e-48e3-b997-6b6885425689;1;0
procedural_groun_3c9266aa-a9a4-4637-a04d-c6383f507e07;1;0
grass_and_stones_f98fcfb8-1e25-4de5-8220-ab67617d8916;1;0
matte_paint_e9fda150-938b-446b-9efe-2758c90619b9;1;0
ivy-particle-pre_050c8089-cca6-4753-87be-509ce4f88a40;1;0
laminate_floor_eeb58e38-0a6a-460a-a649-c5db9752be0f;1;0
plaster_wall_mat_f1ae78ac-83ce-4688-8985-394182c11465;1;0
orange_grain_pla_ae9282ba-c645-4bb2-8f93-2a2a629b2728;1;0
procedural_satin_58718f42-6d4c-419a-8a20-382a6ac60db4;1;0
metal_tiles_01_64037310-6cce-41c6-85f8-76752b08e73d;1;0
fabric_355efd28-5087-47d7-aa26-46e7e9469c49;1;0
decoratiive_tile_72f43285-5259-44b0-80aa-0b0ee755c68c;1;0
orange_terracott_95202d37-b493-48ee-ac6f-ac246118380b;1;0
human_walking_1__e4b5c50d-abf0-473a-8b69-1c38b9318578;1;0
bedrock_stone_49421e3d-ba3c-414f-8dbc-46f2ab761f3d;1;0
wooden_chair_065b5b08-0f36-43d6-b998-8592efa76d8f;1;0
female_body_refe_d80151a2-f21f-47f2-ba4d-eb30290aabde;1;0
metal_cddccf51-dd6b-40e4-b9c7-3c4ab4371be6;1;0
rubber_black_13ad6c74-f4ff-4f2a-a3e4-d313b491c39a;1;0
metal_scratched_59af9320-f84e-4666-ab68-6f9b1331dc2e;1;0
red_painted_meta_b6f91ed8-4ac8-4ca2-9330-90e14e997de0;1;0
painted_wall_sim_65d810b0-bd5d-4a74-b33d-5f5b330c2f15;1;0
old-concrete_243aad84-7053-4d79-94f7-e8d4d45078d1;1;0
concrete_tiles_0_734ffa9e-11d6-4ac6-91fb-e82d8d79f997;1;0
mosaic_tiles_ada64e96-dbd0-421e-a38c-212de4b938be;1;0
toilet_paper_dis_f4756589-6735-4065-9f4a-0dba40f5ec51;1;0
black_wall_light_2e85a84c-2366-4ed2-a020-6c900a827505;1;0
Analyse SENSIBLE;1;0
Analuse URBAINE;1;0
black_shower_sys_e439b1f1-5437-49f4-bba0-3504c6fee93b;1;0
child's_drawing__64cd341a-9d54-42a0-a139-0f9b2f415717;1;0
floor_flooring_f_be630a4e-83eb-41d0-8049-6a1cf5ddea6d;1;0
child's_drawing__1be7f326-3bd7-4fec-b731-4f87e50ce397;1;0
jabuticaba_penda_47a97d43-58f4-4ae6-8db5-c0ba3d80f812;1;0
pen_holder_1b3dd8eb-7b57-45ba-a943-cdc7f33d4689;1;0
toy_wooden_puppe_318476b8-0a49-401a-bb6e-41646bbf7bd2;1;0
bathroom_furnitu_0bf2f7e7-074f-4c44-9680-c98c779701be;1;0
standard_uk_toil_e829ef3b-c810-4034-ac4b-9c655e6ad3d5;1;0
wicker_basket_fi_ac8f97b7-29ac-427e-951f-4a23cdbef7f1;1;0
pin_light_460583c9-17ad-4c76-9eef-b2908c39578b;1;0
wall_lamp_e81df569-468c-45fc-81b5-2e73b7b2cb3c;1;0
cardboard_kids_d_50430558-e9b8-46d9-99a7-b3e11a14adc8;1;0
child's_drawing__1c0ed594-bd1f-45e7-a0ae-845ab043ad53;1;0
metal_rectangula_01df30af-e722-4dda-b1e2-9679f33ca6f0;1;0
rough_iron_steel_56f87f76-a35a-486d-bf41-2b114a902692;1;0